Name,"Sub Category","Plan","AUM","CAGR 3Y","Expense Ratio","Volatility","Sharpe Ratio","Alpha","Sortino Ratio","Tracking Error","Time since inception","SEBI Risk Category","NAV"
ICICI Pru Regular Gold Savings Fund,"FoFs - Gold","Growth","2056.5473204429","21.54059832589692","0.09","14.814090740912857","1.6890476369836347","0","0.1784","0","149","High","30.5545"
Tata Infrastructure Fund,"Sectoral Fund - Infrastructure","Growth","2055.7485932492","26.748172494132305","1.17","22.5084647037509","-0.4286117123924637","0.49","-0.0383","9.132604375532754","149","Very High","185.4143"
Quant Absolute Fund,"Aggressive Hybrid Fund","Growth","2053.6571","17.08848345063658","0.71","14.152123762884495","-0.09524704719832527","0","-0.0094","0","149","Very High","453.3841"
HSBC Multi Asset Allocation Fund,"Multi Asset Allocation Fund","Growth","2042.9822","0","0.51","16.96508655680837","0.16033252945051418","0","0.0145","0","16","Very High","11.6756"
Baroda BNP Paribas Mid Cap Fund,"Mid Cap Fund","Growth","2036.7142999999999","24.90128550045103","0.58","18.28425816050517","0.3301897636208609","2.98","0.0311","4.265480263698333","149","Very High","117.7873"
Nippon India Nifty Smallcap 250 Index Fund,"Index Fund","Growth","2033.4517999999998","25.765444868488064","0.35","23.211705402231868","0.16509488181043044","3.49","0.0153","0.6381552162287792","56","Very High","33.1765"
ICICI Pru PSU Equity Fund,"Thematic Fund","Growth","2031.4413747119002","0","0.94","23.64031711462433","-0.02222431101294256","4.2","-0.0019","6.5339474378051134","33","Very High","21.45"
Sundaram Flexi Cap Fund,"Flexi Cap Fund","Growth","2012.359792","0","0.64","15.129993447453968","0.5778320863365066","3.54","0.0564","3.4812795750987884","33","Very High","15.1146"
ICICI Pru FMCG Fund,"Sectoral Fund - Consumption","Growth","2000.7584011197","13.25148601156625","1.27","13.232989757420658","0.08095999011857648","1.6","0.0092","3.0431431579864925","149","Very High","527.32"
Kotak Special Opportunities Fund,"Thematic Fund","Growth","1998.3051","0","0.66","16.819041084437604","-0.4730603344183488","1.4500000000000002","-0.0459","6.000563973494492","12","Very High","9.578"
Bank of India Flexi Cap Fund,"Flexi Cap Fund","Growth","1981.9134","26.41779609555175","0.47","23.60698064810492","0.04444862202588512","0.7100000000000001","0.004","8.840513430791223","60","Very High","36.75"
Motilal Oswal Nifty Microcap 250 Index Fund,"Index Fund","Growth","1980.7679","0","0.46","25.692890981748242","0.39686269665968865","4.1000000000000005","0.0379","0.601643848136088","23","Very High","17.2134"
Tata Retirement Sav Fund - Prog Plan,"Solution Oriented, Retirement Fund - Equity Oriented","Growth","1978.096427993","20.295237905343","0.58","17.706426074168665","0.43496151553901874","3.1399999999999997","0.041","5.203663678601837","149","Very High","78.1853"
LIC MF Low Duration Fund,"Low Duration Fund","Growth","1975.5579","7.369211512213303","0.26","0.40003759823296614","10.742279473184452","-0.06","1.4261","0.12382116135782284","149","Moderately Low","42.703"
Aditya Birla SL G-Sec Fund,"Gilt - Short & Mid Term Fund","Growth","1972.0355","9.069161714537488","0.49","2.895510234829088","2.3954632370378803","0","0.261","0","149","Moderate","88.6946"
Aditya Birla SL G-Sec Fund,"Gilt - Short & Mid Term Fund","Growth","1972.0355","9.069161714537488","0.49","2.895510234829088","2.3954632370378803","0","0.261","0","149","Moderate","88.6946"
Mirae Asset Banking and Financial Services Fund,"Sectoral Fund - Banks & Financial Services","Growth","1946.5186999999999","22.384357285218858","0.6","18.346168741184083","0.8524610724250111","-0.2","0.0837","5.162389958149229","54","Very High","21.588"
SBI Magnum Income Fund,"Medium to Long Duration Fund","Growth","1942.1905","8.964449808426966","0.77","1.7541331192358236","3.7209846438812404","0","0.419","0","149","Moderately High","76.8641"
Axis Strategic Bond Fund,"Medium Duration Fund","Growth","1930.403101","8.935556103564446","0.53","1.085816338060908","6.014851030574241","0","0.7414","0","149","Moderately High","30.807"
Kotak Medium Term Fund,"Medium Duration Fund","Growth","1925.1148","8.799875275487512","0.67","1.298534743470501","5.406857379291598","0","0.622","0","135","Moderately High","25.2832"
